2,1,3,1,4,1,1,3,3,1,1,2,4,2,P&C.2,sash
26,29,26,26,25,25,22,25,24,22,24,43,NA,NA,P&C.2,ging
11,11,14,9,14,14,15,9,9,9,10,9,11,12,P&C.2,lucy
6,7,6,5,11,12,17,22,10,NA,NA,NA,NA,NA,P&C.2,mori
19,20,16,17,17,16,14,11,11,11,12,14,16,18,P&C.2,phoe
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,lego
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,max
31,31,34,33,30,39,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,carm
3,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,scar
4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,larr
16,10,13,8,13,11,13,8,8,8,9,8,10,11,P&C.2,coco
7,8,25,23,51,23,36,41,NA,NA,NA,NA,NA,NA,P&C.2,bone
5,6,5,4,3,5,3,2,4,3,3,4,3,4,P&C.2,panc
35,25,22,24,22,22,20,17,20,20,19,18,18,21,P&C.2,dori
37,32,30,30,31,31,27,34,36,38,38,35,NA,NA,P&C.2,ocea
8,9,7,6,9,6,8,4,2,NA,NA,NA,NA,NA,P&C.2,tyle
23,22,20,21,20,20,18,13,13,NA,NA,NA,NA,NA,P&C.2,flo
39,35,38,39,33,33,34,28,27,25,20,20,23,14,P&C.2,gizm
13,18,12,15,12,9,10,6,6,6,6,5,7,7,P&C.2,spoc
18,16,10,13,10,7,7,NA,NA,NA,NA,NA,NA,NA,P&C.2,ring
36,30,29,28,28,28,26,31,33,31,25,NA,NA,NA,P&C.2,wokb
22,21,19,18,18,19,16,12,12,12,13,15,17,20,P&C.2,holl
14,4,11,7,5,8,4,7,7,7,7,6,5,9,P&C.2,saff
20,17,17,14,15,18,19,15,NA,NA,NA,NA,NA,NA,P&C.2,talu
21,19,18,16,16,13,11,42,NA,NA,NA,NA,NA,NA,P&C.2,gimp
46,43,43,43,39,38,39,32,34,32,26,22,27,26,P&C.2,hect
38,34,32,34,32,2,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,raje
27,33,31,29,26,26,28,19,18,18,14,16,22,5,P&C.2,puck
30,28,33,31,29,29,29,24,19,19,17,13,14,16,P&C.2,cola
32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,schm
45,42,42,42,37,37,38,30,30,29,29,21,25,23,P&C.2,oreo
42,40,39,37,36,32,32,27,26,24,22,19,19,19,P&C.2,cind
44,41,45,41,42,41,37,36,29,28,27,23,24,24,P&C.2,fina
24,24,21,22,21,21,12,16,16,14,8,7,9,10,P&C.2,fent
57,55,54,53,53,52,49,48,45,42,41,38,38,40,P&C.2,wolo
41,38,36,36,40,51,54,53,NA,NA,NA,NA,NA,NA,P&C.2,uthe
53,50,50,48,46,46,43,40,38,35,32,31,32,33,P&C.2,cact
49,44,44,45,41,40,44,35,37,27,30,34,28,28,P&C.2,omni
52,51,49,49,48,45,45,46,42,40,39,29,31,31,P&C.2,pean
34,36,37,32,34,30,31,26,25,23,18,17,15,17,P&C.2,lore
12,14,8,11,7,15,9,10,15,10,11,12,13,13,P&C.2,socr
61,59,58,58,55,56,53,52,48,47,45,42,40,35,P&C.2,daen
25,26,24,25,23,24,21,18,17,16,28,26,20,25,P&C.2,swee
40,37,35,35,38,35,30,20,21,21,15,27,21,22,P&C.2,funk
54,52,51,50,49,47,47,47,44,41,40,37,37,38,P&C.2,gats
48,47,47,44,43,43,41,39,35,34,33,28,30,30,P&C.2,home
28,23,23,20,19,17,23,38,32,33,46,44,36,41,P&C.2,xavi
60,58,57,56,57,55,52,51,50,46,44,41,42,42,P&C.2,dire
59,57,56,55,56,54,51,50,49,43,42,40,41,39,P&C.2,wood
58,56,55,54,54,53,50,49,47,44,43,39,39,34,P&C.2,octo
47,48,40,38,24,34,33,29,22,15,21,25,26,27,P&C.2,magn
43,39,41,40,35,36,35,33,28,26,23,11,12,15,P&C.2,razo
33,27,28,27,27,27,25,21,23,17,16,10,8,8,P&C.2,sarg
51,49,48,46,47,44,42,43,40,36,34,30,33,32,P&C.2,caba
55,54,52,51,50,48,46,44,43,37,35,33,34,37,P&C.2,pino
56,53,53,52,52,49,48,45,41,39,37,36,35,36,P&C.2,guge
50,46,46,47,44,42,40,37,31,30,31,24,29,29,P&C.2,egon
1,2,1,2,2,3,2,1,1,2,2,1,1,1,P&C.2,swaz
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,macy
29,45,27,19,45,50,24,23,39,13,36,32,6,6,P&C.2,cura
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,rodr
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,balu
62,60,59,57,58,57,55,54,46,45,NA,NA,NA,NA,P&C.2,floinf15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,nige
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.2,egm
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,macy
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,nige
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,rodr
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,balu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,egm
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,max
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,lego
23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,schm
12,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,larr
3,3,3,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,scar
30,29,25,23,19,19,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,raje
34,32,34,36,34,31,NA,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,carm
15,15,14,14,13,12,17,NA,NA,NA,NA,NA,NA,NA,DS.elo.D,ring
21,21,19,17,17,18,20,17,NA,NA,NA,NA,NA,NA,DS.elo.D,talu
17,17,15,16,14,14,12,18,NA,NA,NA,NA,NA,NA,DS.elo.D,gimp
18,18,26,25,26,26,24,23,NA,NA,NA,NA,NA,NA,DS.elo.D,bone
39,39,36,33,40,32,30,29,NA,NA,NA,NA,NA,NA,DS.elo.D,uthe
33,28,28,26,20,17,16,14,13,NA,NA,NA,NA,NA,DS.elo.D,flo
9,8,11,12,12,15,14,13,18,NA,NA,NA,NA,NA,DS.elo.D,tyle
7,7,7,10,10,9,15,21,19,NA,NA,NA,NA,NA,DS.elo.D,mori
37,37,37,37,36,36,36,33,30,25,NA,NA,NA,NA,DS.elo.D,floinf15
8,10,10,9,7,7,5,5,7,8,9,NA,NA,NA,DS.elo.D,fay
42,40,39,34,33,38,38,38,35,29,23,NA,NA,NA,DS.elo.D,wokb
31,30,27,30,29,25,22,30,29,27,27,21,NA,NA,DS.elo.D,ging
40,36,35,35,37,35,35,34,33,38,32,27,NA,NA,DS.elo.D,ocea
1,1,1,1,1,1,1,1,1,1,1,1,1,1,DS.elo.D,sash
2,2,2,2,2,2,2,2,2,2,2,2,2,2,DS.elo.D,panc
10,9,8,6,6,5,6,6,4,3,3,3,3,3,DS.elo.D,flyn
5,5,4,5,4,4,4,4,5,5,5,5,5,4,DS.elo.D,lucy
6,6,6,4,3,3,3,3,3,4,4,4,4,5,DS.elo.D,saff
4,4,5,3,5,6,7,7,6,6,6,7,6,6,DS.elo.D,coco
11,11,9,8,8,8,8,8,8,7,8,6,7,7,DS.elo.D,spoc
